id_sprzedaz,id_restauracji,id_pracownika,id_dania,data
156,65,546,115,28/09/2022
157,50,486,5,21/12/2020
158,35,144,241,09/02/2020
159,6,931,11,16/09/2022
160,59,527,81,21/07/2022
161,88,282,59,14/09/2020
162,27,612,206,28/08/2022
163,86,775,88,23/03/2022
164,80,442,194,29/06/2022
165,45,705,90,09/09/2020
166,49,943,12,01/03/2022
167,44,797,35,07/05/2020
168,5,470,197,14/04/2021
169,9,141,67,23/08/2021
170,79,706,102,29/05/2021
171,78,266,61,30/05/2020
172,35,901,47,11/08/2022
173,63,919,87,26/05/2020
174,31,842,59,31/08/2021
175,49,347,205,07/05/2022
176,71,437,175,07/11/2022
177,29,190,118,15/09/2022
178,34,526,247,25/02/2021
179,73,609,104,08/12/2020
180,93,370,4,08/02/2022
181,41,173,123,11/05/2021
182,30,864,297,20/06/2020
183,36,798,237,20/11/2020
184,31,160,96,04/01/2022
185,53,817,207,30/12/2021
186,65,174,239,09/08/2021
187,26,996,29,25/06/2020
188,62,895,12,26/06/2022
189,13,996,130,22/08/2020
190,13,283,173,18/03/2020
191,82,801,23,16/01/2021
192,96,429,18,13/03/2020
193,17,304,231,21/10/2022
194,87,943,191,06/02/2022
195,33,231,289,21/04/2022
196,27,798,239,19/12/2022
197,90,957,198,18/05/2021
198,47,916,108,11/05/2020
199,57,805,121,26/01/2020
200,50,184,246,14/08/2021
201,2,464,10,05/06/2021
202,7,685,121,03/10/2022
203,85,718,189,18/09/2020
204,43,722,77,02/06/2021
205,13,964,71,24/10/2020
206,92,871,82,21/01/2020
207,51,692,285,30/09/2020
208,15,292,132,10/06/2020
209,35,949,131,31/01/2022
210,55,264,212,10/10/2022
211,47,142,59,18/09/2022
212,86,495,110,14/02/2021
213,97,672,187,28/07/2021
214,96,613,179,20/04/2020
215,19,865,30,20/09/2021
216,64,568,177,22/09/2022
217,53,428,212,05/10/2021
218,79,585,21,02/10/2022
219,37,474,187,11/05/2020
220,35,525,3,15/10/2021
221,79,560,157,09/04/2022
222,34,514,185,14/12/2020
223,4,835,219,11/08/2021
224,51,889,267,05/10/2020
225,3,655,247,02/09/2022
226,88,891,222,13/05/2020
227,44,511,167,13/12/2020
228,31,224,37,30/06/2021
229,34,392,219,16/09/2020
230,33,262,199,09/09/2020
231,33,752,208,11/03/2020
232,39,244,141,19/08/2022
233,12,234,288,12/11/2022
234,63,642,47,07/03/2020
235,14,289,2,17/05/2020
236,45,739,265,25/05/2022
237,25,304,214,10/04/2021
238,80,388,95,26/07/2020
239,73,363,184,16/12/2020
240,53,728,195,20/12/2020
241,48,346,65,13/11/2022
242,73,588,136,21/11/2022
243,98,351,170,21/06/2022
244,48,596,88,02/06/2021
245,98,669,283,15/06/2022
246,96,354,270,11/03/2020
247,100,409,88,09/05/2021
248,58,423,158,03/10/2021
249,52,203,251,10/10/2020
250,81,631,208,02/09/2020
251,29,567,52,14/02/2022
252,53,579,181,26/07/2021
253,43,532,69,08/06/2022
254,31,788,135,31/03/2020
255,30,516,104,28/12/2021
256,80,653,193,04/06/2020
257,20,629,239,07/11/2020
258,5,845,233,26/08/2020
259,71,820,168,23/07/2020
260,89,861,86,26/02/2020
261,78,670,169,17/07/2021
262,12,430,243,04/03/2020
263,92,742,256,12/06/2020
264,90,831,22,22/09/2020
265,52,839,262,25/12/2021
266,80,229,44,20/09/2022
267,75,959,270,10/04/2022
268,17,249,191,22/02/2021
269,24,307,90,02/07/2022
270,44,968,185,15/07/2022
271,60,406,49,02/05/2022
272,27,765,160,30/11/2022
273,11,371,196,23/05/2022
274,42,853,240,27/02/2021
275,20,182,99,13/07/2021
276,3,777,38,13/02/2021
277,88,848,186,10/10/2022
278,50,437,59,18/08/2021
279,74,921,40,12/04/2022
280,37,431,121,22/09/2021
281,53,268,15,16/09/2021
282,17,367,55,04/12/2022
283,23,555,94,04/01/2022
284,6,423,30,10/08/2020
285,61,944,181,27/11/2021
286,99,830,221,18/06/2021
287,100,683,125,22/02/2022
288,47,312,223,29/05/2020
289,18,420,87,14/07/2020
290,90,741,296,18/05/2022
291,51,639,16,16/01/2021
292,41,823,145,21/05/2020
293,7,973,119,21/03/2020
294,59,705,68,26/02/2020
295,25,340,182,06/08/2022
296,100,462,214,30/04/2022
297,96,484,141,09/12/2020
298,97,292,288,18/04/2022
299,75,708,123,08/04/2022
300,31,297,157,23/03/2022
301,91,816,82,24/09/2020
302,73,586,297,27/10/2022
303,91,896,107,30/05/2020
304,23,985,281,28/09/2022
305,9,871,34,13/05/2021
306,54,743,53,30/01/2020
307,37,797,7,14/08/2022
308,60,345,236,24/03/2022
309,82,851,169,15/06/2021
310,45,971,263,31/10/2021
311,94,519,228,31/12/2021
312,10,786,228,26/01/2021
313,74,467,92,02/09/2020
314,14,235,137,29/02/2020
315,25,587,186,22/06/2021
316,89,658,276,11/02/2022
317,22,793,235,01/07/2022
318,82,540,117,11/11/2022
319,13,444,185,01/05/2022
320,28,290,133,18/05/2021
321,34,897,126,09/08/2022
322,28,169,250,20/03/2022
323,78,864,203,09/03/2021
324,88,920,268,27/02/2022
325,44,705,125,09/12/2021
326,39,601,86,11/07/2020
327,54,485,112,23/09/2021
328,87,276,209,22/08/2021
329,69,688,132,27/03/2021
330,40,665,83,25/05/2022
331,70,511,278,07/09/2022
332,8,348,215,09/12/2021
333,97,966,55,05/11/2021
334,42,573,155,03/05/2022
335,14,975,259,09/06/2020
336,38,352,45,23/07/2020
337,38,725,113,27/07/2022
338,52,910,22,31/01/2022
339,35,366,126,07/01/2022
340,97,772,264,21/06/2022
341,82,793,223,21/11/2022
342,8,447,141,25/05/2020
343,96,699,47,17/08/2020
344,68,828,189,23/01/2020
345,2,510,114,03/08/2022
346,23,255,159,10/04/2020
347,35,607,13,17/03/2020
348,16,340,298,24/02/2020
349,42,261,58,21/09/2020
350,81,604,268,08/03/2021
351,33,326,30,09/02/2022
352,37,783,106,15/03/2021
353,24,156,135,02/10/2021
354,5,414,292,30/04/2020
355,95,850,235,16/06/2022
356,35,427,113,31/03/2022
357,30,697,236,16/12/2022
358,45,739,294,02/11/2020
359,16,458,113,26/12/2022
360,50,794,119,16/01/2021
361,66,951,267,25/12/2021
362,27,759,54,28/11/2022
363,40,359,38,07/10/2022
364,93,343,170,03/01/2020
365,58,231,207,29/07/2020
366,84,750,147,26/02/2021
367,15,814,58,22/07/2020
368,68,972,19,13/07/2020
369,9,950,266,07/08/2022
370,67,393,193,25/10/2020
371,17,250,101,18/02/2022
372,65,280,3,17/01/2020
373,16,424,249,05/12/2021
374,12,605,271,08/12/2021
375,45,402,262,02/08/2022
376,11,641,4,27/05/2021
377,76,344,266,29/11/2021
378,86,289,134,10/11/2020
379,86,360,166,10/01/2021
380,62,433,120,26/08/2022
381,88,572,3,04/11/2021
382,86,750,271,28/04/2022
383,16,473,6,12/12/2020
384,83,180,77,29/07/2021
385,33,602,190,11/03/2020
386,13,689,163,10/06/2021
387,11,835,278,06/06/2021
388,64,803,126,23/06/2021
389,22,321,271,20/08/2021
390,63,514,242,16/07/2020
391,72,222,299,15/09/2020
392,50,612,112,18/04/2022
393,95,522,10,18/10/2022
394,99,367,215,09/07/2021
395,88,664,70,08/05/2020
396,57,387,256,07/08/2022
397,27,530,196,01/06/2022
398,88,798,194,27/12/2022
399,8,354,254,19/02/2020
400,32,185,181,27/01/2021
401,68,287,74,24/07/2022
402,82,272,182,14/08/2020
403,89,223,214,14/04/2021
404,25,680,106,12/12/2021
405,2,221,26,12/05/2022
406,7,326,11,03/12/2021
407,9,610,1,27/04/2022
408,94,285,185,04/03/2021
409,89,735,183,05/06/2022
410,33,529,140,15/01/2020
411,11,470,1,30/01/2020
412,26,590,78,23/04/2022
413,20,625,254,24/09/2021
414,38,789,29,06/03/2020
415,65,793,99,18/11/2020
416,52,580,41,28/05/2022
417,72,773,101,29/03/2020
418,72,607,184,03/06/2020
419,53,277,153,12/12/2022
420,28,167,104,15/04/2021
421,20,840,281,20/05/2021
422,65,263,281,10/03/2021
423,47,404,104,28/11/2021
424,28,468,219,21/03/2020
425,45,376,31,08/01/2022
426,76,680,214,11/01/2022
427,68,436,158,25/12/2022
428,20,653,98,20/05/2021
429,91,821,136,04/11/2021
430,19,975,182,09/08/2021
431,53,844,220,12/09/2021
432,6,913,118,24/01/2020
433,46,456,282,15/01/2020
434,16,654,102,04/01/2022
435,61,787,275,27/07/2020
436,3,659,147,16/03/2020
437,38,973,158,06/07/2020
438,64,927,135,22/08/2022
439,56,564,122,17/11/2022
440,98,960,250,19/05/2020
441,23,620,11,10/01/2022
442,95,464,147,10/01/2022
443,22,296,84,10/05/2022
444,15,459,263,06/08/2022
445,64,719,225,01/08/2021
446,12,161,71,26/08/2020
447,5,444,241,01/01/2022
448,6,635,146,25/01/2022
449,36,277,125,26/12/2020
450,80,282,290,23/12/2021
451,26,710,229,20/03/2021
452,71,883,229,01/10/2020
453,24,372,177,20/12/2020
454,21,218,184,12/01/2022
455,81,762,44,22/01/2021
456,33,650,211,16/02/2020
457,76,248,162,13/11/2020
458,40,362,248,26/07/2021
459,36,834,24,07/05/2021
460,9,641,129,03/08/2020
461,14,504,174,11/04/2022
462,63,482,188,10/02/2022
463,95,573,247,04/05/2020
464,95,740,202,24/11/2021
465,35,453,99,28/03/2020
466,40,454,82,30/03/2020
467,86,543,99,20/03/2020
468,73,471,142,08/03/2021
469,17,146,88,16/08/2021
470,62,484,137,25/01/2021
471,75,214,55,13/10/2020
472,33,370,292,28/04/2021
473,97,705,49,21/02/2020
474,53,661,227,14/01/2021
475,34,299,198,10/02/2020
476,66,333,32,03/12/2020
477,10,474,110,07/07/2022
478,25,262,163,21/04/2021
479,93,989,102,17/11/2022
480,15,633,252,29/05/2022
481,36,639,243,27/10/2020
482,87,655,26,12/12/2020
483,14,210,274,02/03/2020
484,73,170,76,18/09/2020
485,5,250,34,20/05/2020
486,41,528,237,25/02/2022
487,24,596,242,10/02/2020
488,88,333,164,22/04/2022
489,39,185,124,21/06/2020
490,35,439,256,25/02/2021
491,21,332,237,03/05/2022
492,28,368,106,19/03/2021
493,90,458,142,25/01/2021
494,3,329,161,21/10/2021
495,31,270,21,09/03/2020
496,25,978,141,24/12/2021
497,83,513,272,08/11/2021
498,9,835,151,07/11/2021
499,7,657,44,25/02/2020
500,62,821,49,08/01/2021
501,65,503,96,17/04/2022
502,85,420,117,10/04/2021
503,23,299,119,21/06/2021
504,57,339,222,20/07/2020
505,55,390,164,09/02/2022
506,3,442,231,09/08/2020
507,95,325,139,30/03/2021
508,77,308,7,22/06/2020
509,26,407,131,19/11/2020
510,74,986,79,27/01/2022
511,39,295,145,11/11/2021
512,12,927,169,29/09/2021
513,67,348,126,03/03/2022
514,98,586,118,09/11/2021
515,97,975,193,11/03/2020
516,20,700,102,23/08/2020
517,12,421,177,22/06/2020
518,40,640,20,16/10/2021
519,37,227,235,04/06/2021
520,75,573,181,18/10/2022
521,19,590,27,14/08/2022
522,8,804,91,02/04/2020
523,29,422,184,18/02/2021
524,62,922,80,23/06/2020
525,25,858,175,30/08/2021
526,12,409,287,07/05/2022
527,100,994,168,19/11/2022
528,55,467,3,09/11/2020
529,24,281,227,15/04/2022
530,32,260,197,29/01/2021
531,50,937,133,04/08/2020
532,89,234,236,10/04/2020
533,9,869,65,16/12/2020
534,52,257,42,28/01/2020
535,2,933,12,03/08/2020
536,27,881,291,17/10/2020
537,65,928,182,25/07/2021
538,51,952,145,20/04/2022
539,50,691,274,05/02/2022
540,75,502,233,22/02/2021
541,12,284,142,23/08/2022
542,88,899,156,28/02/2022
543,67,410,66,01/06/2022
544,72,577,275,27/07/2020
545,85,439,66,21/09/2021
546,93,180,228,01/08/2020
547,93,789,229,22/08/2022
548,100,770,202,16/03/2021
549,94,211,133,25/12/2021
550,31,615,242,13/01/2022
551,32,980,52,22/10/2020
552,43,636,209,28/02/2020
553,2,759,55,14/03/2022
554,54,372,55,11/02/2022
555,70,349,24,26/12/2020
556,2,919,253,25/07/2022
557,52,919,221,20/06/2022
558,74,217,236,17/11/2022
559,3,501,280,08/12/2020
560,25,777,120,01/12/2020
561,18,622,98,28/07/2021
562,50,936,9,05/02/2020
563,21,433,154,06/02/2021
564,14,398,235,09/02/2022
565,61,888,124,02/06/2021
566,69,327,272,24/06/2021
567,50,397,82,14/11/2020
568,68,511,185,28/12/2022
569,53,208,55,30/09/2021
570,30,692,222,29/01/2021
571,33,890,84,27/06/2022
572,6,641,226,13/03/2020
573,64,270,223,18/10/2020
574,19,230,122,16/10/2021
575,87,185,2,15/04/2022
576,15,500,99,19/02/2022
577,26,830,183,28/03/2022
578,80,900,72,19/10/2021
579,32,170,52,25/07/2020
580,19,176,147,13/07/2022
581,58,174,65,26/05/2021
582,34,931,170,28/10/2022
583,31,208,170,26/07/2020
584,46,562,214,14/05/2021
585,68,217,212,10/12/2021
586,6,896,27,19/11/2020
587,5,664,13,21/09/2021
588,99,928,7,20/11/2022
589,59,585,205,24/08/2020
590,35,649,268,28/09/2020
591,39,163,12,08/07/2022
592,20,437,160,27/11/2020
593,34,500,117,16/12/2020
594,56,863,282,11/12/2021
595,44,825,124,11/02/2020
596,30,523,257,02/11/2021
597,39,818,171,14/12/2021
598,10,405,78,17/03/2020
599,68,168,268,19/01/2020
600,78,200,291,20/01/2022
601,57,640,97,27/07/2020
602,46,731,285,03/01/2022
603,78,247,76,23/05/2021
604,43,712,286,14/03/2022
605,75,563,138,13/10/2022
606,49,618,94,11/07/2021
607,5,994,18,07/04/2021
608,37,825,287,20/03/2022
609,39,307,16,25/03/2020
610,70,721,24,16/12/2020
611,44,280,15,03/12/2022
612,53,274,90,10/12/2022
613,40,708,176,05/02/2021
614,24,796,222,03/04/2021
615,50,309,42,31/03/2020
616,2,504,139,06/08/2022
617,6,269,154,06/11/2022
618,33,679,146,15/08/2022
619,22,973,205,29/11/2022
620,36,358,9,17/06/2021
621,45,707,290,07/01/2021
622,71,859,30,07/01/2021
623,73,909,254,13/11/2021
624,61,566,82,27/02/2022
625,44,944,91,17/12/2020
626,28,706,112,03/11/2022
627,13,568,237,23/06/2022
628,60,526,98,13/03/2020
629,1,693,60,20/06/2020
630,14,264,117,25/03/2021
631,65,704,15,22/08/2020
632,43,677,42,26/07/2020
633,5,929,107,11/09/2022
634,43,672,8,18/09/2020
635,53,501,173,21/06/2021
636,30,977,190,05/01/2021
637,51,396,73,04/07/2022
638,22,788,161,30/08/2022
639,44,640,270,24/02/2022
640,64,175,139,14/04/2021
641,50,176,275,16/04/2022
642,75,687,288,18/09/2022
643,85,188,85,21/05/2021
644,12,822,259,15/08/2021
645,12,896,192,30/12/2020
646,88,959,136,05/08/2020
647,9,738,2,11/06/2021
648,81,283,240,15/05/2020
649,61,604,291,08/03/2022
650,79,531,85,07/02/2020
651,39,472,233,07/05/2022
652,34,592,186,05/04/2021
653,12,853,292,22/12/2020
654,84,479,114,05/04/2021
655,29,247,185,31/05/2020
656,23,393,256,16/12/2022
657,47,631,144,28/04/2020
658,93,570,248,05/01/2021
659,80,434,286,05/05/2020
660,99,989,203,25/05/2020
661,13,556,176,20/09/2020
662,17,456,196,19/01/2021
663,30,888,66,14/03/2020
664,92,796,241,09/11/2020
665,25,951,50,19/10/2020
666,100,855,175,23/11/2022
667,29,864,276,18/07/2021
668,46,474,55,31/05/2022
669,62,687,252,01/03/2022
670,5,174,33,25/10/2022
671,7,377,36,04/10/2020
672,32,331,24,16/01/2021
673,46,382,181,22/06/2021
674,31,500,147,11/12/2022
675,76,369,50,22/04/2022
676,37,474,107,28/05/2022
677,7,990,116,15/11/2020
678,24,733,220,01/07/2020
679,67,575,247,28/11/2021
680,12,877,288,09/12/2020
681,99,410,263,11/11/2020
682,12,492,193,24/07/2020
683,26,430,52,22/07/2021
684,74,587,182,03/05/2022
685,65,781,85,15/10/2020
686,26,350,103,07/05/2022
687,5,682,87,17/10/2022
688,77,737,169,10/12/2021
689,19,286,44,05/11/2021
690,10,427,137,26/12/2022
691,54,666,52,10/06/2022
692,66,750,119,08/07/2021
693,37,901,275,09/06/2020
694,6,722,104,05/02/2021
695,32,255,132,05/02/2021
696,66,429,49,08/12/2020
697,69,835,232,04/04/2021
698,47,470,104,21/07/2022
699,66,173,5,03/04/2021
700,89,903,85,26/07/2021
701,9,885,20,12/05/2021
702,70,183,266,05/11/2022
703,46,958,131,01/06/2022
704,90,782,266,31/08/2022
705,85,141,272,22/08/2020
706,53,346,287,29/11/2022
707,76,392,107,27/02/2022
708,20,928,255,08/01/2022
709,70,821,162,13/07/2021
710,51,374,270,13/01/2021
711,84,429,188,24/11/2022
712,23,963,54,19/10/2020
713,1,577,199,29/11/2021
714,8,207,11,14/03/2022
715,59,858,175,17/05/2020
716,52,433,187,19/08/2020
717,48,401,76,05/09/2021
718,45,876,281,18/11/2020
719,11,286,53,13/03/2021
720,59,819,198,14/12/2021
721,88,413,95,22/07/2020
722,91,757,130,17/04/2021
723,41,930,83,26/11/2020
724,89,731,19,04/08/2022
725,46,764,205,18/04/2022
726,91,339,220,09/10/2021
727,42,591,233,16/01/2020
728,19,980,59,06/03/2020
729,75,249,33,04/03/2021
730,8,190,256,11/12/2020
731,24,986,14,22/02/2020
732,93,399,79,14/09/2020
733,19,332,6,20/12/2020
734,8,505,271,10/06/2020
735,73,628,291,28/04/2021
736,29,383,106,04/04/2020
737,37,518,186,09/08/2022
738,4,355,97,22/01/2020
739,73,275,13,19/04/2022
740,52,974,299,14/09/2021
741,36,996,158,19/05/2020
742,48,256,69,26/11/2021
743,100,267,281,13/11/2022
744,99,559,163,02/05/2021
745,79,939,237,17/01/2021
746,60,369,166,03/05/2020
747,93,838,168,22/05/2022
748,53,827,38,14/11/2020
749,4,816,254,08/09/2022
750,54,599,126,09/05/2021
751,41,682,253,21/12/2022
752,55,449,162,21/11/2020
753,31,965,11,07/12/2022
754,29,828,173,09/01/2020
755,91,480,133,06/03/2020
756,10,237,192,29/05/2022
757,63,314,95,02/12/2020
758,15,404,96,21/08/2021
759,76,848,15,26/03/2021
760,37,967,40,26/11/2022
761,41,495,27,18/05/2022
762,74,717,116,14/06/2021
763,3,977,76,22/10/2021
764,70,424,233,18/02/2022
765,71,697,165,29/10/2020
766,57,809,285,15/03/2021
767,84,206,234,17/01/2020
768,40,930,45,21/02/2020
769,43,326,126,09/01/2021
770,100,277,144,19/03/2022
771,5,322,123,16/09/2020
772,85,211,294,12/09/2021
773,33,875,230,06/05/2020
774,27,243,254,10/01/2021
775,53,901,34,04/01/2020
776,67,575,31,14/07/2021
777,20,322,133,04/04/2022
778,2,950,140,04/11/2020
779,63,781,229,25/05/2022
780,50,183,200,29/08/2020
781,57,411,214,02/05/2020
782,33,145,172,05/06/2021
783,60,628,88,22/10/2020
784,28,710,44,08/09/2022
785,98,366,265,20/08/2022
786,65,628,65,02/03/2021
787,91,257,83,11/05/2022
788,20,360,24,23/10/2021
789,27,227,31,17/12/2020
790,76,309,115,03/09/2021
791,72,892,238,01/12/2022
792,92,411,52,22/01/2022
793,34,783,272,20/06/2021
794,89,686,49,17/04/2020
795,5,903,250,26/07/2021
796,65,830,197,07/12/2020
797,35,891,283,09/07/2022
798,66,924,124,25/07/2021
799,17,643,197,16/01/2021
800,89,652,53,16/03/2020
801,100,849,288,18/05/2022
802,30,228,218,15/03/2021
803,4,326,96,14/03/2022
804,38,402,216,29/03/2020
805,8,200,57,23/08/2022
806,12,146,265,25/11/2020
807,6,520,281,14/04/2020
808,9,864,64,24/09/2020
809,53,242,138,08/08/2021
810,71,493,10,01/04/2020
811,10,606,137,22/01/2022
812,37,550,121,16/04/2022
813,19,628,157,12/11/2022
814,46,368,53,20/03/2021
815,19,993,107,14/10/2022
816,50,554,198,14/12/2022
817,61,771,206,14/01/2022
818,75,430,95,22/10/2020
819,61,906,38,12/06/2021
820,15,703,40,18/03/2022
821,82,417,91,03/12/2020
822,84,451,230,15/12/2020
823,86,295,152,17/09/2020
824,9,283,148,03/02/2021
825,20,755,172,17/08/2020
826,77,794,225,21/10/2021
827,23,734,20,22/03/2022
828,54,307,21,22/06/2020
829,50,792,271,05/09/2022
830,75,386,115,02/01/2020
831,25,797,45,06/01/2022
832,22,795,258,09/02/2020
833,75,459,74,25/10/2022
834,8,799,162,24/12/2021
835,65,698,74,03/12/2020
836,6,165,96,25/02/2020
837,79,939,300,19/04/2022
838,66,392,265,09/06/2021
839,13,904,142,11/10/2020
840,95,206,51,10/08/2021
841,43,221,147,27/07/2021
842,84,792,168,19/03/2022
843,33,711,84,23/09/2020
844,74,858,258,21/11/2021
845,26,766,169,17/11/2020
846,86,711,211,12/05/2020
847,1,485,112,11/12/2020
848,75,499,119,31/01/2022
849,91,637,159,12/04/2021
850,81,576,257,28/09/2022
851,95,145,196,11/08/2022
852,80,634,130,02/12/2020
853,89,695,173,05/09/2022
854,35,862,264,23/08/2021
855,15,784,30,04/07/2021
856,69,446,137,13/01/2020
857,16,631,224,18/08/2020
858,76,420,230,06/02/2021
859,53,304,208,04/01/2022
860,53,471,269,16/07/2021
861,13,885,224,13/12/2022
862,26,765,292,04/10/2021
863,85,580,258,23/11/2020
864,100,401,213,05/11/2022
865,39,627,74,18/06/2020
866,48,795,166,08/03/2020
867,41,374,147,11/04/2022
868,14,197,230,18/05/2020
869,13,751,212,31/03/2022
870,23,329,135,08/10/2021
871,99,952,52,08/09/2021
872,46,806,8,01/04/2022
873,7,196,133,10/08/2021
874,48,594,215,11/10/2022
875,60,581,69,29/05/2021
876,66,684,280,24/06/2021
877,94,742,163,29/07/2020
878,54,353,93,20/03/2021
879,83,202,28,22/03/2021
880,30,511,298,01/10/2020
881,52,413,295,18/08/2021
882,89,618,132,21/11/2022
883,10,674,193,22/11/2020
884,96,743,243,07/06/2020
885,71,788,181,26/10/2022
886,18,911,299,26/12/2020
887,42,305,192,21/09/2022
888,31,391,30,30/12/2021
889,74,720,226,15/06/2022
890,17,465,246,21/05/2022
891,32,173,161,08/07/2020
892,55,720,114,07/12/2022
893,5,400,258,21/12/2020
894,100,483,278,16/07/2021
895,22,883,292,08/06/2020
896,45,749,26,26/02/2022
897,32,966,230,13/05/2020
898,64,350,243,07/04/2021
899,62,965,179,14/10/2022
900,82,972,266,25/10/2022
901,27,415,117,25/12/2020
902,55,183,48,30/11/2020
903,75,745,60,14/04/2022
904,20,970,222,29/03/2020
905,56,564,46,03/11/2022
906,86,710,25,06/01/2021
907,52,188,280,03/05/2022
908,63,806,52,15/04/2020
909,4,621,213,07/03/2020
910,47,443,11,17/06/2022
911,28,646,249,16/09/2021
912,30,690,243,15/11/2021
913,28,702,181,06/06/2022
914,49,384,53,03/03/2020
915,33,230,25,01/01/2020
916,70,224,264,23/12/2020
917,71,571,297,01/01/2022
918,39,939,234,08/01/2022
919,11,206,90,31/10/2021
920,76,191,262,16/12/2021
921,84,280,274,09/01/2021
922,8,396,201,27/11/2021
923,3,989,121,08/02/2021
924,100,177,299,04/11/2021
925,33,823,125,01/08/2022
926,70,157,134,19/10/2020
927,67,272,14,09/05/2022
928,24,555,82,15/12/2021
929,45,515,162,07/04/2022
